title,link,date
2026年一季度全国规模以上文化及相关产业企业营业收入增长6.4%,https://www.stats.gov.cn/sj/zxfb/202604/t20260429_1963439.html,2026-04-29
2026年1—3月份全国规模以上工业企业利润增长15.5%,https://www.stats.gov.cn/sj/zxfb/202604/t20260427_1963403.html,2026-04-27
2026年4月中旬流通领域重要生产资料市场价格变动情况,https://www.stats.gov.cn/sj/zxfb/202604/t20260424_1963388.html,2026-04-24
2026年一季度国内生产总值初步核算结果,https://www.stats.gov.cn/sj/zxfb/202604/t20260417_1963336.html,2026-04-17
一季度国民经济实现良好开局,https://www.stats.gov.cn/sj/zxfb/202604/t20260416_1963330.html,2026-04-16
2026年3月份规模以上工业增加值增长5.7%,https://www.stats.gov.cn/sj/zxfb/202604/t20260416_1963329.html,2026-04-16
2026年1—3月份全国固定资产投资增长1.7%,https://www.stats.gov.cn/sj/zxfb/202604/t20260416_1963328.html,2026-04-16
2026年1—3月份全国房地产市场基本情况,https://www.stats.gov.cn/sj/zxfb/202604/t20260416_1963327.html,2026-04-16
2026年3月份社会消费品零售总额增长1.7%,https://www.stats.gov.cn/sj/zxfb/202604/t20260416_1963325.html,2026-04-16
2026年3月份能源生产情况,https://www.stats.gov.cn/sj/zxfb/202604/t20260416_1963324.html,2026-04-16
2026年一季度居民收入和消费支出情况,https://www.stats.gov.cn/sj/zxfb/202604/t20260416_1963323.html,2026-04-16
2026年一季度全国规模以上工业产能利用率为73.6%,https://www.stats.gov.cn/sj/zxfb/202604/t20260416_1963322.html,2026-04-16
2026年3月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202604/t20260416_1963320.html,2026-04-16
2026年4月上旬流通领域重要生产资料市场价格变动情况,https://www.stats.gov.cn/sj/zxfb/202604/t20260413_1963295.html,2026-04-14
2026年3月份居民消费价格同比上涨1.0%,https://www.stats.gov.cn/sj/zxfb/202604/t20260410_1963264.html,2026-04-10
